ORDERID,ORDERSIZE,STARTTIMESTAMP,ENDTIMESTAMP,LATENCYMS,START_TIME,END_TIME,LATENCY_S
153,100,1763369906832,,,2025-11-17 08:58:26.832,,
159,3,1763369181502,1763369204366.0,22864.0,2025-11-17 08:46:21.502,2025-11-17 08:46:44.366,22.864
271,100,1763373360295,1763373689790.0,329495.0,2025-11-17 09:56:00.295,2025-11-17 10:01:29.790,329.495
308,50,1763369759600,1763369925389.0,165789.0,2025-11-17 08:55:59.600,2025-11-17 08:58:45.389,165.789
317,50,1763373204666,1763373378795.0,174129.0,2025-11-17 09:53:24.666,2025-11-17 09:56:18.795,174.129
604,500,1763371649676,1763373223090.0,1573414.0,2025-11-17 09:27:29.676,2025-11-17 09:53:43.090,1573.414
718,250,1763370864322,1763371668578.0,804256.0,2025-11-17 09:14:24.322,2025-11-17 09:27:48.578,804.256
913,250,1763370217522,,,2025-11-17 09:03:37.522,,
965,6,1763369189187,1763369222438.0,33251.0,2025-11-17 08:46:29.187,2025-11-17 08:47:02.438,33.251
